r g mean median sd
20 7 0.09764 0 0.144019345825385
20 8 0.0916 0 0.144537646068874
20 9 0.08128 0 0.13531841217171
20 10 0.07208 0 0.129486835008199
20 11 0.06636 0 0.126242177925951
20 12 0.05188 0 0.113326556942795
20 13 0.04884 0 0.112897299348568
20 14 0.0486 0 0.111832672088914
20 15 0.04664 0 0.110823247525924
20 16 0.03904 0 0.101728201729054
20 17 0.03296 0 0.098979974921372
20 18 0.03368 0 0.101630637046052
20 19 0.03164 0 0.0972191440096135
20 20 0.02972 0 0.0944247723727076
20 21 0.02892 0 0.0970951134767402
21 0 0.255578 0.248 0.129569194224909
21 1 0.21648 0.2 0.148798355335503
21 2 0.17752 0.16 0.153585931120784
21 3 0.15324 0.08 0.158412742533538
21 4 0.13656 0.04 0.159220342662354
21 5 0.10332 0 0.148004334000336
21 6 0.09508 0 0.149713752901354
21 7 0.08212 0 0.131617737515993
21 8 0.07576 0 0.133181679519969
21 9 0.06448 0 0.122211559458446
21 10 0.05628 0 0.120959467561629
21 11 0.05076 0 0.115965815956559
21 12 0.05208 0 0.120105365820595
21 13 0.04344 0 0.11044802019577
21 14 0.03308 0 0.0964230833929874
21 15 0.0292 0 0.0881812674888263
21 16 0.02644 0 0.0830651926273949
21 17 0.0238 0 0.0835352508713426
21 18 0.02332 0 0.0825529684057005
21 19 0.02088 0 0.0762852872121816
21 20 0.02068 0 0.072276978088196
21 21 0.0226 0 0.080516600294119
22 0 0.255265 0.248 0.127379835128632
22 1 0.23604 0.24 0.14433416349136
22 2 0.20764 0.2 0.160442426347186
22 3 0.18324 0.16 0.160636566529874
22 4 0.1618 0.12 0.163166734916721
22 5 0.13084 0.04 0.155324886029961
22 6 0.10044 0 0.139140096184983
22 7 0.08584 0 0.138510214350709
22 8 0.07952 0 0.137087426712163
22 9 0.06036 0 0.122044111554655
22 10 0.04136 0 0.100200751447235
22 11 0.02836 0 0.0854436130498413
22 12 0.02932 0 0.087950400072273
22 13 0.02432 0 0.0824095196499102
22 14 0.02596 0 0.0873115210135621
22 15 0.02484 0 0.086478048387165
22 16 0.02508 0 0.0874221724520515
22 17 0.02432 0 0.0881743291004378
22 18 0.0234 0 0.0892793974599449
22 19 0.01912 0 0.0798147605145564
22 20 0.01856 0 0.0796660095214582
22 21 0.0164 0 0.0755085527708056
23 0 0.247696 0.218 0.13017420215583
23 1 0.22672 0.2 0.147693788139702
23 2 0.18672 0.16 0.152295881873528
23 3 0.135 0.08 0.144717459703877
23 4 0.13692 0.08 0.15435523683743
23 5 0.12524 0.04 0.155202545823934
23 6 0.11688 0 0.156190464052903
23 7 0.10716 0 0.155862206539711
23 8 0.08996 0 0.147298660195181
23 9 0.06944 0 0.12728821111434
23 10 0.05404 0 0.115877115540153
23 11 0.0378 0 0.0968449221123077
23 12 0.03556 0 0.100852653200883
23 13 0.03468 0 0.10114310420156
23 14 0.02548 0 0.0848502750093903
23 15 0.02416 0 0.0818327012323985
23 16 0.02472 0 0.0897026653348058
23 17 0.0226 0 0.084855409022881
23 18 0.02344 0 0.087318903972685
23 19 0.0212 0 0.0791253487879884
23 20 0.02008 0 0.0798396390771399
23 21 0.0192 0 0.0795140395306545
24 0 0.24824 0.241 0.127904691118074
24 1 0.2164 0.2 0.157883397376568
24 2 0.17776 0.16 0.156226082934281
24 3 0.14092 0.08 0.146209886570406
24 4 0.11872 0.04 0.149081813065803
24 5 0.09956 0 0.149086663498897
24 6 0.0928 0 0.14893468884562
24 7 0.07116 0 0.128227519264379
24 8 0.06008 0 0.121584441341713
24 9 0.05508 0 0.121181180380777
24 10 0.05156 0 0.119749347832488
24 11 0.04772 0 0.11633200219516
24 12 0.04584 0 0.115412366817488
24 13 0.04328 0 0.111735967917795
24 14 0.04084 0 0.106264700566964
24 15 0.04128 0 0.111043650391602
24 16 0.03484 0 0.104100967389412
24 17 0.03012 0 0.0968450544145883
24 18 0.02872 0 0.0924148370236192
24 19 0.02768 0 0.0929906708485581
24 20 0.0222 0 0.0797491060759926
24 21 0.01956 0 0.0751681891271611
25 0 0.249916 0.244 0.126404933254803
25 1 0.23548 0.24 0.151190039447141
25 2 0.20472 0.2 0.157599997967511
25 3 0.18464 0.16 0.167399202187146
25 4 0.15416 0.08 0.1675815561987
