r gen percentile mean
8 19 90 0.451154701274094
8 19 95 0.602062055477628
8 20 50 0.079641852989915
8 20 90 0.530252217672775
8 20 95 0.662417188499758
8 21 50 0.0544229397678057
8 21 90 0.523132235189789
8 21 95 0.67035712070473
9 0 50 0.0260069268090807
9 0 90 0.132090594996099
9 0 95 0.19949742981289
9 1 50 0.0374404483907114
9 1 90 0.202356058946675
9 1 95 0.296448766263954
9 2 50 0.0448629708186849
9 2 90 0.266219038114487
9 2 95 0.407376847116592
9 3 50 0.0457446168433395
9 3 90 0.335969843869869
9 3 95 0.510109414230706
9 4 50 0.048228393351361
9 4 90 0.390248371834356
9 4 95 0.561864477746944
9 5 50 0.0490221732468561
9 5 90 0.42040054002828
9 5 95 0.701864218736498
9 6 50 0.0655612549024302
9 6 90 0.593242031198608
9 6 95 0.827387402577179
9 7 50 0.0532239389090879
9 7 90 0.568386255207118
9 7 95 0.831761233695757
9 8 50 0.0700804956692112
9 8 90 0.53966540076616
9 8 95 0.890643826013415
9 9 50 0.107321439798202
9 9 90 0.68511031575044
9 9 95 0.861352059398934
9 10 50 0.0697403147004512
9 10 90 0.553386402207744
9 10 95 0.777032426450921
9 11 50 0.0672246981247484
9 11 90 0.637762444193043
9 11 95 0.817644862299656
9 12 50 0.0653135755952841
9 12 90 0.660465435252181
9 12 95 0.758599451148521
9 13 50 0.0702916295699104
9 13 90 0.589891402526392
9 13 95 0.792122569616244
9 14 50 0.0822374527937778
9 14 90 0.70591471995808
9 14 95 0.812662127598075
9 15 50 0.0753192145831871
9 15 90 0.544615417850796
9 15 95 0.680775557738515
9 16 50 0.0846474292158015
9 16 90 0.561315148755837
9 16 95 0.719846481306006
9 17 50 0.0685437328036373
9 17 90 0.472818286570228
9 17 95 0.662039354500381
9 18 50 0.0905965718815558
9 18 90 0.565555996237594
9 18 95 0.663122909055813
9 19 50 0.115676657176028
9 19 90 0.470449802969857
9 19 95 0.571975629850074
9 20 50 0.128960602917634
9 20 90 0.446765049140621
9 20 95 0.594481515735091
9 21 50 0.132296031629036
9 21 90 0.500604726895488
9 21 95 0.606455156240029
10 0 50 0.0271162791591506
10 0 90 0.125315072439886
10 0 95 0.182723275590187
10 1 50 0.0396988071677813
10 1 90 0.254142039867245
10 1 95 0.367053627173275
10 2 50 0.0453790309234346
10 2 90 0.295763693483165
10 2 95 0.445831764853504
10 3 50 0.0417270432978912
10 3 90 0.298523620678952
10 3 95 0.45366176117883
10 4 50 0.0523072218602404
10 4 90 0.414557485480257
10 4 95 0.69035501799534
10 5 50 0.0842099544452804
10 5 90 0.668439525130362
10 5 95 0.840426991801495
10 6 50 0.0785799240822951
10 6 90 0.636164118425148
10 6 95 0.866581912258124
10 7 50 0.0566198940832976
10 7 90 0.674813041635419
10 7 95 0.904719669509471
10 8 50 0.0514208265566961
10 8 90 0.636276622898323
10 8 95 0.924071557971014
10 9 50 0.0512077976312311
10 9 90 0.523397245487197
10 9 95 0.832456989730298
10 10 50 0.0690477071769452
10 10 90 0.513347802522406
10 10 95 0.644102028570445
10 11 50 0.0872333627747077
10 11 90 0.476150930819149
10 11 95 0.691279887969824
10 12 50 0.0707597205311564
10 12 90 0.581331897286884
10 12 95 0.758081927906661
10 13 50 0.128138562401902
10 13 90 0.729448558138279
10 13 95 0.841846276611484
10 14 50 0.0797895695466208
10 14 90 0.63930680891998
10 14 95 0.747347121521914
10 15 50 0.108999316236541
10 15 90 0.667696748677457
10 15 95 0.755455629459848
10 16 50 0.121905505497324
10 16 90 0.617175641516638
10 16 95 0.713693771272811
10 17 50 0.12784930489339
10 17 90 0.485299907053095
10 17 95 0.606895136970219
10 18 50 0.174464982283587
10 18 90 0.56845755296199
10 18 95 0.663207006113491
10 19 50 0.0926886963786277
10 19 90 0.440584847432316
10 19 95 0.520652505409192
10 20 50 0.165092952096587
10 20 90 0.544870693891592
10 20 95 0.585439364342228
10 21 50 0.136904663924059
10 21 90 0.596196492067656
10 21 95 0.702243104798252
11 0 50 0.0278129582362107
11 0 90 0.133453626687669
11 0 95 0.192798277478802
11 1 50 0.0446388922192689
11 1 90 0.236522328462183
11 1 95 0.352430341790761
11 2 50 0.0476110618363529
